timestamp_ms,speed,g_force,temp,humidity,lux,altitude
0,0.0,0.0,23.2,48.5,920,148.0
1000,12.4,0.2,23.3,48.4,915,148.2
2000,24.8,0.5,23.4,48.3,910,148.5
3000,38.6,0.8,23.5,48.2,905,149.0
4000,52.3,1.1,23.7,48.1,900,149.5
5000,65.8,1.4,23.9,48.0,895,150.0
6000,77.5,1.7,24.1,47.9,890,150.5
7000,86.2,2.0,24.3,47.8,885,151.0
8000,91.8,2.2,24.5,47.7,880,151.5
9000,94.5,2.4,24.7,47.6,875,152.0
10000,95.8,2.5,24.9,47.5,870,152.5
11000,96.2,2.6,25.1,47.4,865,153.0
12000,96.5,2.6,25.3,47.3,860,153.5
13000,95.8,2.5,25.4,47.2,855,154.0
14000,93.2,2.3,25.5,47.1,850,154.5
15000,88.5,1.9,25.4,47.2,845,155.0
16000,81.2,1.5,25.3,47.3,840,155.5
17000,72.8,1.1,25.2,47.4,835,156.0
18000,62.5,0.8,25.1,47.5,830,156.5
19000,51.2,0.5,25.0,47.6,825,157.0
20000,39.8,0.3,24.9,47.7,820,157.5
21000,28.5,0.2,24.8,47.8,815,158.0
22000,17.2,0.1,24.7,47.9,810,158.5
23000,8.5,0.0,24.6,48.0,805,159.0
24000,2.8,0.0,24.5,48.1,800,159.5
25000,0.0,0.0,24.4,48.2,795,160.0
